episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
7,C51-DDQN,185.15348903481743,9,1,9,1767797860.3590605,5048,0,0,0,9,0,9,9,2.7734975814819336,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,C51-DDQN,142.3625027187684,8,0,8,1767797863.1366503,5049,0,0,1,8,1,9,9,71.111154794693,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,C51-DDQN,157.8551473290142,9,1,9,1767797934.248808,5050,0,0,0,9,0,9,9,2.945582628250122,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,C51-DDQN,163.26073309291402,9,1,9,1767797937.1953948,5051,0,0,0,9,0,9,9,8.2061448097229,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,SAC-Discrete,152.0628894719993,9,1,9,1767797945.4568665,6042,0,0,0,9,0,9,9,6.855790615081787,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,SAC-Discrete,146.0972394462966,9,1,9,1767797952.3146598,6043,0,0,0,9,0,9,9,6.626887798309326,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,SAC-Discrete,160.9955704421075,9,1,9,1767797958.9430416,6044,0,0,0,9,0,9,9,7.503918170928955,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,SAC-Discrete,172.29828162416743,9,1,9,1767797966.4484632,6045,0,0,0,9,0,9,9,4.954086780548096,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,SAC-Discrete,121.96176102061773,7,0,7,1767797971.407482,6046,0,0,2,7,2,9,9,144.22777438163757,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
6,SAC-Discrete,122.86819437740166,8,0,8,1767798115.6377552,6047,0,0,1,8,1,9,9,68.84470534324646,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
