step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
221,24,,6.753363,1.000000,-0.004963,45.421310,5,140.225185,1.000000
222,24,,7.416547,1.000000,0.152622,52.837856,6,140.225185,1.000000
223,24,,8.246779,1.000000,-0.160630,61.084635,7,140.225185,1.000000
224,24,,18.752833,1.000000,-0.188646,79.837468,8,140.225185,1.000000
225,24,,56.139414,1.000000,0.001838,135.976882,9,140.225185,1.000000
226,25,,15.403004,1.000000,0.165221,15.403004,1,140.055252,1.000000
227,25,,7.916115,1.000000,-0.141998,23.319118,2,140.055252,1.000000
228,25,,7.452126,1.000000,0.119203,30.771244,3,140.055252,1.000000
229,25,,12.203403,1.000000,-0.002443,42.974647,4,140.055252,1.000000
230,25,,6.753363,1.000000,0.019494,49.728010,5,140.055252,1.000000
231,25,,7.416547,1.000000,0.203067,57.144557,6,140.055252,1.000000
232,25,,9.734881,1.000000,-0.215912,66.879438,7,140.055252,1.000000
233,25,,7.896702,1.000000,0.089637,74.776140,8,140.055252,1.000000
234,25,,60.746779,1.000000,-0.082738,135.522920,9,140.055252,1.000000
235,26,,15.403004,1.000000,0.165221,15.403004,1,139.880932,1.000000
236,26,,3.639414,1.000000,-0.017442,19.042418,2,139.880932,1.000000
237,26,,8.246779,1.000000,-0.050441,27.289197,3,139.880932,1.000000
238,26,,7.416547,1.000000,0.216729,34.705744,4,139.880932,1.000000
239,26,,9.734881,1.000000,-0.161975,44.440625,5,139.880932,1.000000
240,26,,16.547582,1.000000,0.069492,60.988207,6,139.880932,1.000000
241,26,,16.462942,1.000000,0.130449,77.451149,7,139.880932,1.000000
242,26,,7.916115,1.000000,-0.141185,85.367264,8,139.880932,1.000000
243,26,,59.952126,1.000000,0.074716,145.319390,9,139.880932,1.000000
244,27,,15.403004,1.000000,0.165221,15.403004,1,140.082356,1.000000
245,27,,7.916115,1.000000,-0.141998,23.319118,2,140.082356,1.000000
246,27,,9.734881,1.000000,-0.215383,33.054000,3,140.082356,1.000000
247,27,,8.246779,1.000000,-0.035854,41.300779,4,140.082356,1.000000
248,27,,7.452126,1.000000,0.087117,48.752905,5,140.082356,1.000000
249,27,,6.753363,1.000000,0.019813,55.506268,6,140.082356,1.000000
250,27,,19.416547,1.000000,0.221827,74.922815,7,140.082356,1.000000
251,27,,15.639414,1.000000,-0.042669,90.562229,8,140.082356,1.000000
252,27,,59.336018,1.000000,0.123803,149.898247,9,140.082356,1.000000
253,28,,15.403004,1.000000,0.165221,15.403004,1,140.432924,1.000000
254,28,,8.246779,1.000000,-0.064993,23.649783,2,140.432924,1.000000
255,28,,7.452126,1.000000,0.075690,31.101909,3,140.432924,1.000000
256,28,,9.734881,1.000000,-0.178616,40.836790,4,140.432924,1.000000
257,28,,6.753363,1.000000,0.043971,47.590153,5,140.432924,1.000000
258,28,,4.184090,1.000000,-0.041056,51.774243,6,140.432924,1.000000
259,28,,18.836018,1.000000,0.094322,70.610262,7,140.432924,1.000000
260,28,,8.710345,1.000000,-0.143509,79.320607,8,140.432924,1.000000
261,28,,59.916547,1.000000,0.221169,139.237153,9,140.432924,1.000000
262,29,,15.403004,1.000000,0.165221,15.403004,1,140.391690,1.000000
263,29,,7.416547,1.000000,0.213186,22.819550,2,140.391690,1.000000
264,29,,7.452126,1.000000,0.075758,30.271676,3,140.391690,1.000000
265,29,,7.896702,1.000000,0.047707,38.168378,4,140.391690,1.000000
266,29,,7.844047,1.000000,0.028340,46.012425,5,140.391690,1.000000
267,29,,9.734881,1.000000,-0.198642,55.747307,6,140.391690,1.000000
268,29,,8.460791,1.000000,-0.166041,64.208097,7,140.391690,1.000000
269,29,,16.810768,1.000000,-0.110945,81.018866,8,140.391690,1.000000
270,29,,56.139414,1.000000,0.001838,137.158280,9,140.391690,1.000000
271,30,,15.403004,1.000000,0.165221,15.403004,1,140.283910,1.000000
272,30,,7.896702,1.000000,0.026737,23.299706,2,140.283910,1.000000
273,30,,7.452126,1.000000,0.090851,30.751831,3,140.283910,1.000000
274,30,,9.734881,1.000000,-0.201355,40.486713,4,140.283910,1.000000
275,30,,7.416547,1.000000,0.183722,47.903259,5,140.283910,1.000000
276,30,,15.890494,1.000000,0.053646,63.793754,6,140.283910,1.000000
277,30,,8.845826,1.000000,-0.164837,72.639579,7,140.283910,1.000000
278,30,,4.184090,1.000000,0.018395,76.823669,8,140.283910,1.000000
279,30,,60.416115,1.000000,-0.125907,137.239784,9,140.283910,1.000000
280,31,,15.403004,1.000000,0.165221,15.403004,1,140.185712,1.000000
281,31,,3.639414,1.000000,-0.017442,19.042418,2,140.185712,1.000000
282,31,,6.753363,1.000000,0.025475,25.795781,3,140.185712,1.000000
283,31,,7.416547,1.000000,0.219332,33.212328,4,140.185712,1.000000
284,31,,9.734881,1.000000,-0.200953,42.947209,5,140.185712,1.000000
285,31,,7.452126,1.000000,0.085108,50.399335,6,140.185712,1.000000
286,31,,7.896702,1.000000,0.098058,58.296037,7,140.185712,1.000000
287,31,,8.845826,1.000000,-0.110737,67.141863,8,140.185712,1.000000
288,31,,60.416115,1.000000,-0.125907,127.557977,9,140.185712,1.000000
289,32,,15.403004,1.000000,0.165221,15.403004,1,139.791096,1.000000
290,32,,9.734881,1.000000,-0.199531,25.137885,2,139.791096,1.000000
291,32,,3.639414,1.000000,-0.041170,28.777299,3,139.791096,1.000000
292,32,,7.416547,1.000000,0.218365,36.193846,4,139.791096,1.000000
293,32,,8.246779,1.000000,-0.065981,44.440625,5,139.791096,1.000000
294,32,,16.547582,1.000000,0.069492,60.988207,6,139.791096,1.000000
295,32,,7.916115,1.000000,-0.132524,68.904322,7,139.791096,1.000000
296,32,,17.079050,1.000000,0.063052,85.983372,8,139.791096,1.000000
297,32,,59.336018,1.000000,0.123803,145.319390,9,139.791096,1.000000
298,33,,15.403004,1.000000,0.165221,15.403004,1,139.958620,1.000000
299,33,,7.452126,1.000000,0.109978,22.855129,2,139.958620,1.000000
300,33,,7.416547,1.000000,0.208776,30.271676,3,139.958620,1.000000
301,33,,8.246779,1.000000,-0.128392,38.518455,4,139.958620,1.000000
302,33,,7.916115,1.000000,-0.176716,46.434570,5,139.958620,1.000000
303,33,,17.256708,1.000000,0.049005,63.691278,6,139.958620,1.000000
304,33,,7.844047,1.000000,0.018941,71.535326,7,139.958620,1.000000
305,33,,12.657365,1.000000,0.050013,84.192691,8,139.958620,1.000000
306,33,,62.234881,1.000000,-0.210408,146.427573,9,139.958620,1.000000
307,34,,15.403004,1.000000,0.165221,15.403004,1,140.148883,1.000000
308,34,,6.753363,1.000000,0.000368,22.156367,2,140.148883,1.000000
309,34,,7.416547,1.000000,0.197613,29.572914,3,140.148883,1.000000
310,34,,7.916115,1.000000,-0.163598,37.489028,4,140.148883,1.000000
311,34,,7.452126,1.000000,0.097823,44.941154,5,140.148883,1.000000
312,34,,12.203403,1.000000,0.001698,57.144557,6,140.148883,1.000000
313,34,,8.246779,1.000000,-0.126715,65.391336,7,140.148883,1.000000
