episode,total_reward,length,success,avg_reward_100,success_rate_100
530,139.255422,6,1,137.651513,1.000000
531,139.255422,6,1,137.651513,1.000000
532,139.255422,6,1,137.653008,1.000000
533,139.105863,6,1,137.653008,1.000000
534,139.255422,6,1,137.653008,1.000000
535,139.105863,6,1,137.651513,1.000000
536,139.255422,6,1,137.653008,1.000000
537,133.440021,6,1,137.594854,1.000000
538,139.255422,6,1,137.687213,1.000000
539,139.255422,6,1,137.688708,1.000000
540,139.255422,6,1,137.688708,1.000000
541,139.105863,6,1,137.687213,1.000000
542,139.255422,6,1,137.688708,1.000000
543,139.255422,6,1,137.688708,1.000000
544,130.019593,6,1,137.596350,1.000000
545,139.105863,6,1,137.596350,1.000000
546,130.019593,6,1,137.503992,1.000000
547,139.255422,6,1,137.505487,1.000000
548,139.255422,6,1,137.562146,1.000000
549,130.019593,6,1,137.469787,1.000000
550,139.255422,6,1,137.471283,1.000000
551,139.105863,6,1,137.469787,1.000000
552,139.255422,6,1,137.469787,1.000000
553,133.440021,6,1,137.413129,1.000000
554,139.105863,6,1,137.411633,1.000000
555,139.255422,6,1,137.413129,1.000000
556,139.255422,6,1,137.413129,1.000000
557,133.440021,6,1,137.356470,1.000000
558,139.255422,6,1,137.413129,1.000000
559,139.255422,6,1,137.414624,1.000000
560,139.105863,6,1,137.413129,1.000000
561,139.255422,6,1,137.413129,1.000000
562,139.105863,6,1,137.413129,1.000000
563,139.255422,6,1,137.414624,1.000000
564,139.255422,6,1,137.506983,1.000000
565,139.105863,6,1,137.505487,1.000000
566,139.255422,6,1,137.505487,1.000000
567,139.105863,6,1,137.505487,1.000000
568,139.255422,6,1,137.506983,1.000000
569,139.105863,6,1,137.505487,1.000000
570,139.255422,6,1,137.506983,1.000000
571,139.255422,6,1,137.506983,1.000000
572,139.105863,6,1,137.562146,1.000000
573,139.255422,6,1,137.562146,1.000000
574,130.019593,6,1,137.469787,1.000000
575,139.255422,6,1,137.469787,1.000000
576,139.255422,6,1,137.469787,1.000000
577,139.105863,6,1,137.562146,1.000000
578,139.255422,6,1,137.654504,1.000000
579,139.105863,6,1,137.654504,1.000000
580,139.255422,6,1,137.746862,1.000000
581,139.105863,6,1,137.746862,1.000000
582,139.255422,6,1,137.746862,1.000000
583,139.105863,6,1,137.746862,1.000000
584,129.870034,6,1,137.745367,1.000000
585,139.255422,6,1,137.746862,1.000000
586,139.105863,6,1,137.802025,1.000000
587,139.105863,6,1,137.802025,1.000000
588,139.255422,6,1,137.802025,1.000000
589,139.105863,6,1,137.892888,1.000000
590,139.255422,6,1,137.894383,1.000000
591,130.019593,6,1,137.803521,1.000000
592,130.019593,6,1,137.712658,1.000000
593,129.870034,6,1,137.618804,1.000000
594,139.255422,6,1,137.675949,1.000000
595,139.105863,6,1,137.768307,1.000000
596,139.255422,6,1,137.769803,1.000000
597,139.255422,6,1,137.769803,1.000000
598,139.255422,6,1,137.769803,1.000000
599,130.019593,6,1,137.771298,1.000000
600,139.105863,6,1,137.771298,1.000000
601,139.105863,6,1,137.769803,1.000000
602,139.255422,6,1,137.769803,1.000000
