step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
227,23,,,,0.116896,25.116896,0.320508,0.160254,-25.000000,-25.000000,0.000000,9.212294,15,5,6,263.855832,0.974747
228,23,,,,0.063886,25.063886,0.318906,0.159453,-25.000000,-25.000000,0.000000,-15.787706,16,5,6,263.855832,0.974747
229,23,,,,0.054867,25.054867,0.317311,0.158656,-25.000000,-25.000000,0.000000,-40.787706,17,5,6,263.855832,0.974747
230,23,,,,0.066315,25.066315,0.315725,0.157862,-25.000000,-25.000000,0.000000,-65.787706,18,5,6,263.855832,0.974747
231,23,,,,0.077362,25.077362,0.314146,0.157073,-25.000000,-25.000000,0.000000,-90.787706,19,5,6,263.855832,0.974747
232,23,,,,0.104530,25.104530,0.312575,0.156288,-25.000000,-25.000000,0.000000,-115.787706,20,5,6,263.855832,0.974747
233,23,,,,0.089120,25.089120,0.311012,0.155506,-25.000000,-25.000000,0.000000,-140.787706,21,5,6,263.855832,0.974747
234,23,,,,0.088830,-45.994700,0.309457,0.154729,46.083530,46.083530,0.000000,-94.704176,22,5,7,263.855832,0.974747
235,24,,,,0.070236,-53.796876,0.307910,0.153955,53.867112,13.067226,40.799886,53.867112,1,1,1,248.266266,0.966184
236,24,,,,0.115463,-49.605550,0.306371,0.153185,49.721013,9.726858,39.994155,103.588125,2,2,2,248.266266,0.966184
237,24,,,,0.058955,-47.740812,0.304839,0.152419,47.799766,8.036135,39.763632,151.387891,3,3,3,248.266266,0.966184
238,24,,,,0.036003,-8.339427,0.303315,0.151657,8.375429,8.375429,0.000000,159.763321,4,4,4,248.266266,0.966184
239,24,,,,0.088559,-4.354693,0.301798,0.150899,4.443252,4.443252,0.000000,164.206573,5,5,5,248.266266,0.966184
240,24,,,,0.085365,-7.189857,0.300289,0.150144,7.275222,7.275222,0.000000,171.481795,6,5,6,248.266266,0.966184
241,24,,,,0.065957,-16.076958,0.298788,0.149394,16.142916,16.142916,0.000000,187.624711,7,5,7,248.266266,0.966184
242,24,,,,0.080167,-8.433799,0.297294,0.148647,8.513966,8.513966,0.000000,196.138677,8,5,8,248.266266,0.966184
243,24,,,,0.043195,-69.045018,0.295807,0.147904,69.088213,69.088213,0.000000,265.226890,9,5,9,248.266266,0.966184
244,25,,,,0.141484,-47.921709,0.294328,0.147164,48.063193,6.953620,41.109573,48.063193,1,1,1,248.972959,0.967593
